epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.78,1.13236,1.62098,1.29627,0.78907,0.55263,0.64763,0.44763,1.16516,1.68229,1.22082,0.000656863,0.000656863,0.000656863
2,194.135,1.1258,1.21426,1.29006,0.70952,0.62136,0.66814,0.44899,1.17544,1.59635,1.3334,0.00123618,0.00123618,0.00123618
3,318.611,1.10452,1.11956,1.24413,0.60508,0.57895,0.57973,0.32182,1.40099,1.78746,1.48648,0.00172749,0.00172749,0.00172749
4,408.577,1.07579,1.08622,1.22588,0.80866,0.55612,0.69317,0.43641,1.18421,1.50411,1.29256,0.001604,0.001604,0.001604
5,497.288,1.0212,0.97099,1.20482,0.87038,0.64795,0.74931,0.50856,1.06401,1.23986,1.25341,0.001472,0.001472,0.001472
6,619.48,1.19001,1.26834,1.40081,0.84533,0.66667,0.75965,0.47104,1.19398,1.49843,1.38563,0.00134,0.00134,0.00134
7,710.454,1.09101,1.08861,1.32486,0.82932,0.67544,0.78984,0.54791,1.035,1.10472,1.22077,0.001208,0.001208,0.001208
8,798.985,1.0206,0.95569,1.25673,0.81674,0.82456,0.86219,0.59423,0.97311,0.9698,1.1618,0.001076,0.001076,0.001076
9,913.772,0.99426,0.90823,1.25454,0.83317,0.78856,0.85899,0.59106,0.98434,0.98454,1.12648,0.000944,0.000944,0.000944
10,1010.88,0.94822,0.86,1.23218,0.80716,0.84446,0.8547,0.63249,0.95174,0.86637,1.1283,0.000812,0.000812,0.000812
11,1102.42,0.91378,0.81746,1.20362,0.82386,0.81579,0.8767,0.65378,0.91255,0.83378,1.09242,0.00068,0.00068,0.00068
12,1196.34,0.88975,0.7806,1.18053,0.88665,0.80702,0.89811,0.68499,0.84323,0.76803,1.04848,0.000548,0.000548,0.000548
13,1287.62,0.86893,0.72811,1.14399,0.8383,0.85965,0.89766,0.66443,0.93838,0.78549,1.08601,0.000416,0.000416,0.000416
14,1378.21,0.80804,0.69188,1.12478,0.83563,0.84734,0.89842,0.67786,0.91234,0.75307,1.07683,0.000284,0.000284,0.000284
15,1467.02,0.79128,0.66535,1.1051,0.89186,0.81579,0.89081,0.6998,0.78644,0.70663,1.01761,0.000152,0.000152,0.000152
