epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.661,1.56888,2.32305,1.26292,0.63425,0.48,0.43126,0.18772,1.87808,2.51982,1.48487,0.00065812,0.00065812,0.00065812
2,269.739,1.50172,1.5807,1.24519,0.44484,0.46667,0.34949,0.14088,2.08228,2.70403,1.67245,0.00123735,0.00123735,0.00123735
3,447.292,1.45905,1.36326,1.18944,0.84488,0.50839,0.63554,0.28554,1.94204,1.87379,1.52293,0.00172858,0.00172858,0.00172858
4,579.969,1.40168,1.20784,1.19888,0.79064,0.69333,0.76667,0.34904,1.90184,1.47541,1.54888,0.001604,0.001604,0.001604
5,691.014,1.27241,1.09764,1.15667,0.77614,0.68,0.73038,0.32068,1.91848,1.34636,1.65801,0.001472,0.001472,0.001472
6,797.875,1.57664,1.2442,1.3838,0.52095,0.64,0.53448,0.22494,1.83699,1.85298,1.40952,0.00134,0.00134,0.00134
7,906.258,1.47916,1.17722,1.29612,0.72087,0.79203,0.73002,0.30276,1.84207,1.39259,1.43098,0.001208,0.001208,0.001208
8,1008.75,1.49374,1.07986,1.30991,0.8958,0.70667,0.7886,0.35887,1.74261,1.14004,1.44633,0.001076,0.001076,0.001076
9,1115.56,1.41347,1.00198,1.25067,0.91753,0.74667,0.83385,0.41946,1.68901,1.07119,1.41305,0.000944,0.000944,0.000944
10,1251.91,1.37665,0.9448,1.24773,0.73212,0.70667,0.76451,0.33688,1.91553,1.31211,1.4911,0.000812,0.000812,0.000812
11,1354.26,1.3559,0.89989,1.20763,0.87126,0.72191,0.81729,0.42938,1.59588,0.95291,1.30654,0.00068,0.00068,0.00068
12,1461.17,1.25984,0.83342,1.16423,0.81047,0.79824,0.82972,0.42906,1.66578,0.93016,1.34508,0.000548,0.000548,0.000548
13,1604.4,1.21622,0.77906,1.15097,0.83104,0.82667,0.84448,0.42223,1.71857,0.98233,1.35745,0.000416,0.000416,0.000416
14,1715.18,1.20587,0.74872,1.13301,0.82627,0.82439,0.85455,0.44644,1.66161,0.88581,1.33496,0.000284,0.000284,0.000284
15,1817.84,1.1394,0.72205,1.10819,0.87527,0.78667,0.84589,0.42319,1.69254,0.91724,1.31887,0.000152,0.000152,0.000152
